datetime,pm25,source,temperature,humidity,dew_point,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,wind_speed,wind_direction,wind_gusts,year,month,day,hour,day_of_week,is_weekend,season,is_dry_season,pm25_lag1,pm25_lag24,pm25_lag168,pm25_rolling_3h,pm25_rolling_24h,pm25_rolling_7d,pm25_rolling_24h_std,wind_u,wind_v,temp_humidity,pressure_diff,is_raining
2024-02-14 09:00:00,9.6,OpenAQ,21.0,87,18.8,0.2,0.2,1020.0,1017.8,93,12.2,152,23.4,2024,2,14,9,2,0,dry,1,13.31,11.27,10.54,9.72666666666667,7.322500000000001,11.6075,2.4142192004508662,-10.771960632878908,5.727553065987866,18.27,0.5,1
2024-02-14 10:00:00,11.82,OpenAQ,22.8,75,18.1,0.2,0.2,1019.8,1017.6,92,17.3,168,32.0,2024,2,14,10,2,0,dry,1,9.6,8.68,17.99,10.743333333333338,7.252916666666667,11.601904761904763,2.317630872748801,-16.92195349269484,3.596872251147236,17.1,-0.20000000000004547,1
2024-02-14 11:00:00,8.91,OpenAQ,23.8,69,17.8,0.1,0.1,1018.9,1016.7,99,19.2,172,36.4,2024,2,14,11,2,0,dry,1,11.82,8.0,13.62,11.57666666666667,7.383749999999999,11.565178571428572,2.4843279425402947,-19.01314691983815,2.672123538433254,16.422,-0.8999999999999773,1
2024-02-14 12:00:00,7.35,OpenAQ,24.5,65,17.6,0.1,0.1,1017.6,1015.4,100,19.7,171,37.1,2024,2,14,12,2,0,dry,1,8.91,6.86,13.03,10.110000000000001,7.421666666666666,11.537142857142856,2.5010305122464906,-19.457460309724212,3.0817589612925502,15.925,-1.2999999999999545,1
2024-02-14 13:00:00,5.72,OpenAQ,24.8,64,17.5,0.0,0.0,1016.1,1013.9,100,20.1,170,37.4,2024,2,14,13,2,0,dry,1,7.35,6.52,20.06,9.360000000000003,7.442083333333334,11.503333333333334,2.498244564848814,-19.79463583554538,3.490328371105299,15.872,-1.5,0
2024-02-14 14:00:00,6.19,OpenAQ,25.0,63,17.5,0.0,0.0,1014.8,1012.6,100,21.0,168,39.2,2024,2,14,14,2,0,dry,1,5.72,8.56,24.13,7.326666666666669,7.40875,11.41797619047619,2.5163540092760277,-20.54109961540992,4.366145507172946,15.75,-1.3000000000000682,0
2024-02-14 15:00:00,6.4,OpenAQ,25.1,62,17.4,0.0,0.0,1014.0,1011.8,100,20.0,162,39.6,2024,2,14,15,2,0,dry,1,6.19,10.52,21.92,6.420000000000003,7.31,11.311190476190477,2.5157140917250276,-19.02113032590307,6.18033988749895,15.562000000000001,-0.7999999999999545,0
2024-02-14 16:00:00,6.33,OpenAQ,25.1,61,17.1,0.0,0.0,1013.7,1011.5,99,20.5,162,38.5,2024,2,14,16,2,0,dry,1,6.4,8.7,16.06,6.103333333333336,7.138333333333333,11.218809523809524,2.426121733686541,-19.496658584050646,6.334848384686424,15.311000000000002,-0.2999999999999545,0
2024-02-14 17:00:00,4.93,OpenAQ,24.4,65,17.4,0.0,0.0,1014.0,1011.8,85,17.4,153,38.9,2024,2,14,17,2,0,dry,1,6.33,7.31,11.4,6.306666666666669,7.039583333333333,11.160892857142857,2.4079586865707228,-15.503513520877599,7.8994346954681145,15.86,0.2999999999999545,0
2024-02-14 18:00:00,5.67,OpenAQ,22.8,70,17.1,0.0,0.0,1014.5,1012.3,92,15.0,153,30.2,2024,2,14,18,2,0,dry,1,4.93,5.58,8.47,5.88666666666667,6.940416666666667,11.122380952380952,2.4450597559455347,-13.365097862825516,6.809857496093203,15.96,0.5,0
2024-02-14 19:00:00,6.19,OpenAQ,22.1,75,17.5,0.0,0.0,1015.3,1013.1,78,16.4,151,28.1,2024,2,14,19,2,0,dry,1,5.67,5.51,8.04,5.643333333333335,6.944166666666667,11.105714285714285,2.442950668968574,-14.343763197086089,7.950877772039929,16.575,0.7999999999999545,0
