datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2025-11-01 00:00:00,24.0,24.0,963.0,17.8,15.6,41.0,80,61
2025-11-01 01:00:00,24.8,24.8,965.0,16.9,15.6,43.0,79,60
2025-11-01 02:00:00,23.9,23.9,895.0,15.7,15.5,46.0,78,60
2025-11-01 03:00:00,22.6,22.6,818.0,14.9,15.5,49.0,76,57
2025-11-01 04:00:00,22.1,22.1,737.0,14.7,15.4,52.0,75,54
2025-11-01 05:00:00,22.3,22.4,649.0,14.8,15.2,55.0,73,52
2025-11-01 06:00:00,21.9,21.9,609.0,15.6,15.3,56.0,73,50
2025-11-01 07:00:00,22.8,22.9,658.0,17.2,15.7,56.0,72,49
2025-11-01 08:00:00,22.6,22.6,756.0,19.5,16.4,54.0,71,48
2025-11-01 09:00:00,23.1,23.1,834.0,21.9,17.3,51.0,71,47
2025-11-01 10:00:00,24.1,24.2,863.0,24.6,18.4,46.0,71,47
2025-11-01 11:00:00,26.0,26.1,872.0,27.4,19.7,41.0,71,47
2025-11-01 12:00:00,22.6,22.6,882.0,18.9,15.8,54.0,71,47
2025-11-01 13:00:00,22.4,22.4,917.0,18.2,15.4,54.0,70,46
2025-11-01 14:00:00,22.1,22.2,953.0,17.3,14.8,53.0,70,45
2025-11-01 15:00:00,22.8,22.8,943.0,16.4,14.1,52.0,70,45
2025-11-01 16:00:00,22.7,22.8,846.0,15.7,13.3,51.0,70,45
2025-11-01 17:00:00,21.7,21.7,702.0,15.2,12.5,49.0,70,46
2025-11-01 18:00:00,20.7,20.8,584.0,14.9,12.1,48.0,70,47
2025-11-01 19:00:00,21.4,21.4,498.0,14.8,12.4,47.0,71,47
2025-11-01 20:00:00,21.4,21.4,438.0,14.9,13.2,46.0,72,48
2025-11-01 21:00:00,21.4,21.4,455.0,15.6,14.1,45.0,72,49
2025-11-01 22:00:00,22.7,22.8,616.0,17.9,15.0,43.0,72,50
2025-11-01 23:00:00,23.2,23.3,854.0,20.7,16.0,40.0,73,51
2025-11-02 00:00:00,15.7,15.7,1017.0,20.9,16.0,41.0,73,51
2025-11-02 01:00:00,15.8,15.8,1031.0,19.4,16.9,45.0,72,50
2025-11-02 02:00:00,15.9,15.9,971.0,17.3,18.1,51.0,71,48
2025-11-02 03:00:00,15.5,15.5,908.0,15.3,18.9,57.0,71,47
2025-11-02 04:00:00,15.9,15.9,860.0,13.5,18.8,63.0,70,45
2025-11-02 05:00:00,17.8,17.8,809.0,11.9,18.4,68.0,69,44
2025-11-02 06:00:00,20.2,20.3,781.0,11.2,18.1,71.0,69,44
2025-11-02 07:00:00,22.9,23.0,794.0,11.9,18.3,70.0,69,43
2025-11-02 08:00:00,23.9,24.2,830.0,13.6,18.7,66.0,69,43
2025-11-02 09:00:00,25.0,25.2,854.0,14.9,19.0,63.0,69,44
2025-11-02 10:00:00,25.4,25.6,854.0,15.7,19.3,60.0,69,44
