datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-01-01 00:00:00,12.6,97,12.1,1018.5,1016.2,0.0,0.0,0,1.26,326,2.4
2025-01-01 01:00:00,14.9,90,13.2,1019.6,1017.3,0.0,0.0,1,1.13,347,3.3
2025-01-01 02:00:00,17.2,77,13.1,1020.1,1017.8,0.0,0.0,0,1.05,355,4.0
2025-01-01 03:00:00,19.5,65,12.8,1020.0,1017.7,0.0,0.0,0,1.1,357,4.5
2025-01-01 04:00:00,21.3,55,11.9,1019.3,1017.1,0.0,0.0,0,0.86,7,4.5
2025-01-01 05:00:00,22.5,50,11.6,1018.0,1015.8,0.0,0.0,0,0.46,13,4.4
2025-01-01 06:00:00,23.5,47,11.5,1016.6,1014.4,0.0,0.0,0,0.18,56,4.0
2025-01-01 07:00:00,23.9,45,11.4,1015.3,1013.1,0.0,0.0,3,0.51,101,3.7
2025-01-01 08:00:00,24.1,44,11.1,1014.3,1012.1,0.0,0.0,52,1.13,135,4.2
2025-01-01 09:00:00,23.6,45,11.1,1014.1,1011.9,0.0,0.0,1,2.0,143,4.9
2025-01-01 10:00:00,22.1,51,11.4,1014.3,1012.1,0.0,0.0,2,2.37,132,5.3
2025-01-01 11:00:00,19.9,59,11.7,1014.8,1012.6,0.0,0.0,3,1.53,109,4.4
2025-01-01 12:00:00,18.9,64,11.9,1015.5,1013.2,0.0,0.0,0,1.61,95,3.1
2025-01-01 13:00:00,18.7,68,12.8,1015.8,1013.5,0.0,0.0,0,2.74,111,4.4
2025-01-01 14:00:00,17.6,73,12.6,1016.7,1014.4,0.0,0.0,0,2.97,134,6.4
2025-01-01 15:00:00,16.6,76,12.4,1017.2,1014.9,0.0,0.0,0,2.21,155,5.6
2025-01-01 16:00:00,15.9,80,12.4,1017.5,1015.2,0.0,0.0,3,1.76,165,4.2
2025-01-01 17:00:00,14.9,86,12.6,1017.5,1015.2,0.0,0.0,4,1.32,155,3.3
2025-01-01 18:00:00,14.8,87,12.6,1017.8,1015.5,0.0,0.0,6,0.63,108,2.1
2025-01-01 19:00:00,14.1,90,12.6,1017.5,1015.2,0.0,0.0,3,0.75,53,1.4
2025-01-01 20:00:00,13.4,95,12.6,1017.3,1015.0,0.0,0.0,3,1.12,32,2.1
2025-01-01 21:00:00,13.1,95,12.4,1017.4,1015.1,0.0,0.0,7,1.23,32,2.2
2025-01-01 22:00:00,12.9,95,12.1,1017.6,1015.3,0.0,0.0,8,1.32,25,2.3
2025-01-01 23:00:00,12.6,95,11.9,1018.0,1015.7,0.0,0.0,6,1.2,17,2.3
2025-01-02 00:00:00,12.9,95,12.1,1018.9,1016.6,0.0,0.0,0,1.2,17,2.1
2025-01-02 01:00:00,15.6,84,12.9,1019.8,1017.5,0.0,0.0,0,1.4,35,3.5
2025-01-02 02:00:00,18.6,68,12.6,1020.9,1018.6,0.0,0.0,0,1.42,18,4.3
2025-01-02 03:00:00,20.8,56,11.8,1020.8,1018.5,0.0,0.0,0,1.47,18,5.0
2025-01-02 04:00:00,22.4,50,11.5,1020.2,1018.0,0.0,0.0,0,1.37,33,5.1
2025-01-02 05:00:00,23.5,46,11.4,1019.0,1016.8,0.0,0.0,0,1.11,54,5.1
2025-01-02 06:00:00,24.1,45,11.4,1018.0,1015.8,0.0,0.0,0,1.01,81,4.8
2025-01-02 07:00:00,24.6,43,11.3,1017.1,1014.9,0.0,0.0,5,1.35,90,4.9
2025-01-02 08:00:00,25.0,42,11.0,1016.4,1014.2,0.0,0.0,28,1.9,92,5.4
2025-01-02 09:00:00,24.4,43,10.9,1016.4,1014.2,0.0,0.0,56,1.8,90,5.3
2025-01-02 10:00:00,23.5,47,11.6,1016.6,1014.4,0.0,0.0,17,0.95,108,4.3
2025-01-02 11:00:00,21.6,54,11.9,1017.1,1014.9,0.0,0.0,0,0.63,151,2.0
2025-01-02 12:00:00,20.8,57,12.0,1017.7,1015.5,0.0,0.0,12,0.15,90,1.0
2025-01-02 13:00:00,19.7,61,12.1,1018.8,1016.5,0.0,0.0,1,3.03,121,5.1
2025-01-02 14:00:00,17.8,72,12.6,1019.6,1017.3,0.0,0.0,0,2.0,122,6.1
2025-01-02 15:00:00,16.8,78,12.9,1020.3,1018.0,0.0,0.0,2,1.79,108,3.7
2025-01-02 16:00:00,16.1,82,13.0,1020.6,1018.3,0.0,0.0,27,1.04,125,3.4
2025-01-02 17:00:00,15.9,84,13.1,1020.6,1018.3,0.0,0.0,44,0.36,236,1.6
2025-01-02 18:00:00,15.5,86,13.2,1020.7,1018.4,0.0,0.0,84,0.7,266,1.3
2025-01-02 19:00:00,14.8,89,13.1,1020.5,1018.2,0.0,0.0,28,1.1,313,1.8
2025-01-02 20:00:00,14.6,90,13.0,1020.1,1017.8,0.0,0.0,6,1.52,314,2.7
2025-01-02 21:00:00,14.2,91,12.8,1020.0,1017.7,0.0,0.0,87,1.48,332,2.8
2025-01-02 22:00:00,14.1,90,12.6,1020.1,1017.8,0.0,0.0,97,1.59,316,2.8
2025-01-02 23:00:00,14.3,90,12.6,1021.0,1018.7,0.0,0.0,12,1.86,329,3.5
2025-01-03 00:00:00,14.3,90,12.6,1021.7,1019.4,0.0,0.0,1,2.0,338,3.5
2025-01-03 01:00:00,16.9,81,13.6,1022.7,1020.4,0.0,0.0,0,2.17,337,4.5
2025-01-03 02:00:00,19.9,66,13.3,1023.1,1020.8,0.0,0.0,0,2.15,3,5.2
2025-01-03 03:00:00,22.0,52,11.6,1023.1,1020.9,0.0,0.0,0,3.18,24,7.6
2025-01-03 04:00:00,23.5,44,10.6,1022.5,1020.3,0.0,0.0,48,3.36,33,8.1
2025-01-03 05:00:00,24.5,39,9.8,1021.1,1018.9,0.0,0.0,77,3.12,40,8.2
2025-01-03 06:00:00,25.2,36,9.1,1019.7,1017.5,0.0,0.0,55,2.47,45,7.7
2025-01-03 07:00:00,25.4,35,9.0,1018.3,1016.1,0.0,0.0,12,2.52,41,6.7
2025-01-03 08:00:00,25.4,36,9.0,1017.7,1015.5,0.0,0.0,19,2.69,43,6.6
2025-01-03 09:00:00,24.8,36,8.8,1017.4,1015.2,0.0,0.0,51,2.46,66,6.5
2025-01-03 10:00:00,23.2,42,9.4,1017.3,1015.1,0.0,0.0,36,1.87,106,5.5
2025-01-03 11:00:00,20.6,50,9.8,1017.4,1015.2,0.0,0.0,16,1.59,136,3.6
2025-01-03 12:00:00,20.2,51,9.8,1017.8,1015.6,0.0,0.0,2,1.8,146,3.6
2025-01-03 13:00:00,19.9,55,10.4,1018.3,1016.0,0.0,0.0,0,1.56,138,3.2
2025-01-03 14:00:00,19.1,60,11.1,1019.1,1016.8,0.0,0.0,0,3.29,133,5.9
2025-01-03 15:00:00,17.4,65,10.9,1019.7,1017.4,0.0,0.0,0,2.75,143,6.2
2025-01-03 16:00:00,16.8,68,10.9,1019.6,1017.3,0.0,0.0,0,2.54,148,5.2
2025-01-03 17:00:00,16.2,72,11.2,1019.1,1016.8,0.0,0.0,0,2.06,162,4.7
2025-01-03 18:00:00,15.6,77,11.5,1018.7,1016.4,0.0,0.0,0,1.95,180,3.8
2025-01-03 19:00:00,14.9,80,11.6,1018.3,1016.0,0.0,0.0,0,1.62,189,3.6
2025-01-03 20:00:00,14.9,80,11.5,1018.3,1016.0,0.0,0.0,0,0.32,198,2.8
2025-01-03 21:00:00,14.4,83,11.6,1018.3,1016.0,0.0,0.0,0,0.11,27,0.5
2025-01-03 22:00:00,13.9,86,11.6,1018.3,1016.0,0.0,0.0,0,0.18,56,0.5
2025-01-03 23:00:00,12.9,91,11.5,1018.7,1016.4,0.0,0.0,0,0.81,60,1.4
2025-01-04 00:00:00,12.6,95,11.8,1019.3,1017.0,0.0,0.0,0,1.11,72,1.9
2025-01-04 01:00:00,15.7,83,12.9,1021.0,1018.7,0.0,0.0,1,1.23,78,3.3
2025-01-04 02:00:00,18.4,68,12.4,1021.5,1019.2,0.0,0.0,0,1.05,93,3.8
2025-01-04 03:00:00,20.4,54,10.9,1021.3,1019.0,0.0,0.0,0,1.55,88,5.0
2025-01-04 04:00:00,21.8,52,11.4,1020.7,1018.5,0.0,0.0,1,1.81,95,5.8
2025-01-04 05:00:00,22.9,49,11.7,1019.4,1017.2,0.0,0.0,5,1.77,115,5.8
2025-01-04 06:00:00,24.0,43,10.8,1017.8,1015.6,0.0,0.0,95,1.84,133,6.0
2025-01-04 07:00:00,23.8,44,10.9,1016.7,1014.5,0.0,0.0,93,2.12,135,5.8
2025-01-04 08:00:00,23.5,44,10.7,1015.7,1013.5,0.0,0.0,97,2.73,140,6.4
2025-01-04 09:00:00,22.8,50,11.7,1015.3,1013.1,0.0,0.0,42,3.01,137,6.6
2025-01-04 10:00:00,22.2,52,12.0,1015.3,1013.1,0.0,0.0,38,2.18,127,6.5
2025-01-04 11:00:00,21.0,58,12.4,1016.2,1014.0,0.0,0.0,98,2.69,112,4.5
2025-01-04 12:00:00,19.5,61,11.9,1017.6,1015.3,0.0,0.0,100,4.21,118,8.0
2025-01-04 13:00:00,18.3,69,12.4,1019.7,1017.4,0.0,0.0,75,3.97,121,7.7
2025-01-04 14:00:00,17.4,74,12.7,1020.5,1018.2,0.0,0.0,67,3.36,123,7.5
2025-01-04 15:00:00,16.6,77,12.6,1021.5,1019.2,0.0,0.0,10,2.44,118,6.2
2025-01-04 16:00:00,15.4,84,12.6,1022.3,1020.0,0.0,0.0,6,1.3,94,4.5
2025-01-04 17:00:00,14.9,86,12.6,1022.5,1020.2,0.0,0.0,30,0.71,51,2.3
2025-01-04 18:00:00,14.6,88,12.6,1022.4,1020.1,0.0,0.0,28,0.46,311,1.8
2025-01-04 19:00:00,14.2,90,12.7,1022.0,1019.7,0.0,0.0,13,0.56,297,2.1
2025-01-04 20:00:00,13.9,93,12.8,1021.9,1019.6,0.0,0.0,11,1.62,326,2.9
2025-01-04 21:00:00,13.6,91,12.2,1021.7,1019.4,0.0,0.0,5,1.5,323,3.3
2025-01-04 22:00:00,13.7,85,11.1,1021.9,1019.6,0.0,0.0,24,1.92,335,3.6
2025-01-04 23:00:00,13.6,76,9.6,1022.5,1020.2,0.0,0.0,94,1.57,343,3.6
2025-01-05 00:00:00,15.1,68,9.1,1023.1,1020.8,0.0,0.0,0,2.11,338,3.7
2025-01-05 01:00:00,17.1,65,10.4,1023.8,1021.5,0.0,0.0,0,2.03,322,4.1
2025-01-05 02:00:00,19.7,54,10.1,1024.1,1021.8,0.0,0.0,3,1.91,354,4.9
2025-01-05 03:00:00,21.4,46,9.4,1023.6,1021.3,0.0,0.0,0,2.47,21,6.3
2025-01-05 04:00:00,22.6,39,8.1,1022.5,1020.3,0.0,0.0,0,2.79,33,7.3
2025-01-05 05:00:00,23.5,37,7.9,1021.2,1019.0,0.0,0.0,0,2.35,27,7.3
2025-01-05 06:00:00,24.1,36,8.3,1019.6,1017.4,0.0,0.0,0,1.98,10,6.6
2025-01-05 07:00:00,24.5,36,8.6,1018.4,1016.2,0.0,0.0,23,2.15,342,6.2
2025-01-05 08:00:00,24.5,36,8.4,1017.3,1015.1,0.0,0.0,36,2.24,321,6.1
2025-01-05 09:00:00,24.4,36,8.2,1016.7,1014.5,0.0,0.0,15,1.57,333,5.8
2025-01-05 10:00:00,23.3,50,12.2,1016.5,1014.3,0.0,0.0,0,0.65,67,3.8
2025-01-05 11:00:00,20.6,49,9.6,1016.7,1014.5,0.0,0.0,0,1.35,68,2.1
2025-01-05 12:00:00,20.1,53,10.2,1017.3,1015.1,0.0,0.0,0,0.57,45,2.1
2025-01-05 13:00:00,18.9,56,9.8,1017.9,1015.6,0.0,0.0,0,0.43,69,1.4
2025-01-05 14:00:00,17.5,64,10.6,1018.5,1016.2,0.0,0.0,0,1.61,120,3.1
2025-01-05 15:00:00,16.5,70,11.1,1018.6,1016.3,0.0,0.0,0,1.52,163,3.0
2025-01-05 16:00:00,16.4,71,11.1,1018.7,1016.4,0.0,0.0,0,2.81,129,5.2
2025-01-05 17:00:00,15.4,78,11.6,1018.7,1016.4,0.0,0.0,0,2.62,145,5.3
2025-01-05 18:00:00,14.9,83,12.1,1018.4,1016.1,0.0,0.0,0,2.28,161,4.9
2025-01-05 19:00:00,14.6,87,12.4,1017.8,1015.5,0.0,0.0,0,1.86,166,4.3
2025-01-05 20:00:00,14.1,90,12.4,1017.7,1015.4,0.0,0.0,0,1.61,164,3.5
2025-01-05 21:00:00,13.8,90,12.1,1017.7,1015.4,0.0,0.0,0,1.17,130,2.9
2025-01-05 22:00:00,13.1,93,12.1,1018.0,1015.7,0.0,0.0,0,0.97,78,1.9
2025-01-05 23:00:00,12.5,96,11.9,1018.8,1016.5,0.0,0.0,0,1.23,69,2.2
2025-01-06 00:00:00,12.6,97,12.1,1019.4,1017.1,0.0,0.0,0,1.19,62,2.2
2025-01-06 01:00:00,15.1,90,13.6,1020.7,1018.4,0.0,0.0,19,1.16,83,3.2
2025-01-06 02:00:00,18.0,71,12.8,1021.4,1019.1,0.0,0.0,0,1.12,100,4.0
2025-01-06 03:00:00,20.1,53,10.1,1021.2,1018.9,0.0,0.0,0,1.35,105,4.8
2025-01-06 04:00:00,21.7,43,8.6,1020.3,1018.1,0.0,0.0,0,1.8,92,5.7
2025-01-06 05:00:00,22.9,39,8.2,1018.9,1016.7,0.0,0.0,0,1.7,88,5.9
2025-01-06 06:00:00,23.6,37,8.3,1017.2,1015.0,0.0,0.0,0,1.56,97,5.7
2025-01-06 07:00:00,24.0,37,8.4,1016.1,1013.9,0.0,0.0,9,1.6,110,5.4
2025-01-06 08:00:00,24.1,37,8.6,1015.1,1012.9,0.0,0.0,0,1.9,125,5.5
2025-01-06 09:00:00,23.7,39,8.8,1015.0,1012.8,0.0,0.0,0,2.12,135,5.4
2025-01-06 10:00:00,22.5,43,9.4,1015.4,1013.2,0.0,0.0,3,1.56,130,5.1
2025-01-06 11:00:00,20.1,52,9.9,1015.9,1013.7,0.0,0.0,15,1.23,69,3.0
2025-01-06 12:00:00,20.0,52,9.9,1016.7,1014.5,0.0,0.0,4,3.32,106,5.7
2025-01-06 13:00:00,18.6,60,10.8,1017.1,1014.8,0.0,0.0,0,3.4,131,6.4
2025-01-06 14:00:00,17.2,71,11.9,1017.4,1015.1,0.0,0.0,0,3.08,132,6.4
2025-01-06 15:00:00,16.4,80,12.9,1017.5,1015.2,0.0,0.0,0,2.66,140,5.7
2025-01-06 16:00:00,15.6,86,13.4,1017.2,1014.9,0.0,0.0,0,2.06,154,4.9
2025-01-06 17:00:00,14.8,93,13.6,1017.3,1015.0,0.0,0.0,0,1.35,165,3.9
2025-01-06 18:00:00,14.4,94,13.4,1017.1,1014.8,0.0,0.0,0,0.54,146,2.4
2025-01-06 19:00:00,14.1,96,13.4,1016.8,1014.5,0.0,0.0,0,0.41,104,1.0
2025-01-06 20:00:00,13.6,97,13.2,1016.8,1014.5,0.0,0.0,0,0.57,75,1.2
2025-01-06 21:00:00,13.1,98,12.8,1016.6,1014.3,0.0,0.0,1,0.95,72,1.7
2025-01-06 22:00:00,12.8,99,12.6,1016.9,1014.6,0.0,0.0,1,1.2,73,2.2
2025-01-06 23:00:00,12.4,99,12.3,1017.4,1015.1,0.0,0.0,9,1.23,69,2.3
2025-01-07 00:00:00,12.5,100,12.4,1018.2,1015.9,0.0,0.0,4,1.24,47,2.3
2025-01-07 01:00:00,14.6,89,12.7,1019.3,1017.0,0.0,0.0,15,1.21,38,3.5
2025-01-07 02:00:00,18.0,63,11.0,1020.2,1017.9,0.0,0.0,28,1.14,52,3.9
2025-01-07 03:00:00,20.1,55,10.9,1020.3,1018.0,0.0,0.0,28,1.61,74,5.1
2025-01-07 04:00:00,21.6,57,12.6,1019.0,1016.8,0.0,0.0,20,1.65,88,5.6
2025-01-07 05:00:00,23.2,51,12.6,1017.8,1015.6,0.0,0.0,96,2.29,144,6.4
2025-01-07 06:00:00,23.5,50,12.4,1016.5,1014.3,0.0,0.0,100,2.51,157,6.5
2025-01-07 07:00:00,23.6,50,12.7,1015.5,1013.3,0.0,0.0,100,2.28,154,6.4
2025-01-07 08:00:00,23.0,55,13.6,1014.8,1012.6,0.0,0.0,50,2.79,136,6.5
2025-01-07 09:00:00,22.1,63,14.9,1014.9,1012.7,0.0,0.0,59,3.69,130,8.0
2025-01-07 10:00:00,21.0,69,14.9,1015.1,1012.9,0.0,0.0,27,3.44,126,8.1
