horizon,best_model,datetime_utc,datetime_local,horizon_hours,model,y_true_us_aqi,y_pred_us_aqi,true_aqi_class,pred_aqi_class,abs_error,error
1,MARS,2026-03-01 09:00:00+00:00,2026-03-01 16:00:00,1,MARS,127.0,96.16959168952545,unhealthy_sensitive,moderate,30.830408310474553,-30.830408310474553
1,MARS,2026-04-09 08:00:00+00:00,2026-04-09 15:00:00,1,MARS,174.0,144.76509844996153,unhealthy,unhealthy_sensitive,29.234901550038472,-29.234901550038472
1,MARS,2026-04-08 08:00:00+00:00,2026-04-08 15:00:00,1,MARS,204.0,177.9321971686557,very_unhealthy,unhealthy,26.067802831344295,-26.067802831344295
1,MARS,2026-03-30 08:00:00+00:00,2026-03-30 15:00:00,1,MARS,157.0,131.7393004920845,unhealthy,unhealthy_sensitive,25.26069950791549,-25.26069950791549
1,MARS,2026-04-03 09:00:00+00:00,2026-04-03 16:00:00,1,MARS,189.0,163.7497033161931,unhealthy,unhealthy,25.25029668380691,-25.25029668380691
1,MARS,2026-04-12 06:00:00+00:00,2026-04-12 13:00:00,1,MARS,181.0,203.31796224275016,unhealthy,very_unhealthy,22.317962242750156,22.317962242750156
1,MARS,2026-04-13 16:00:00+00:00,2026-04-13 23:00:00,1,MARS,154.0,132.28751643574523,unhealthy,unhealthy_sensitive,21.712483564254768,-21.712483564254768
1,MARS,2026-04-13 15:00:00+00:00,2026-04-13 22:00:00,1,MARS,158.0,176.9799975205712,unhealthy,unhealthy,18.979997520571203,18.979997520571203
1,MARS,2026-03-31 16:00:00+00:00,2026-03-31 23:00:00,1,MARS,146.0,127.61032725305748,unhealthy_sensitive,unhealthy_sensitive,18.389672746942523,-18.389672746942523
1,MARS,2026-04-11 07:00:00+00:00,2026-04-11 14:00:00,1,MARS,207.0,188.68693909793544,very_unhealthy,unhealthy,18.313060902064564,-18.313060902064564
1,MARS,2026-04-13 08:00:00+00:00,2026-04-13 15:00:00,1,MARS,206.0,188.47393844046988,very_unhealthy,unhealthy,17.52606155953012,-17.52606155953012
1,MARS,2026-04-14 09:00:00+00:00,2026-04-14 16:00:00,1,MARS,198.0,180.6487322568988,unhealthy,unhealthy,17.351267743101204,-17.351267743101204
1,MARS,2026-04-08 16:00:00+00:00,2026-04-08 23:00:00,1,MARS,157.0,139.88758851490044,unhealthy,unhealthy_sensitive,17.112411485099557,-17.112411485099557
1,MARS,2026-04-12 15:00:00+00:00,2026-04-12 22:00:00,1,MARS,178.0,161.2506297265002,unhealthy,unhealthy,16.749370273499807,-16.749370273499807
1,MARS,2026-04-06 13:00:00+00:00,2026-04-06 20:00:00,1,MARS,243.0,259.51047880476307,very_unhealthy,very_unhealthy,16.510478804763068,16.510478804763068
1,MARS,2026-04-06 07:00:00+00:00,2026-04-06 14:00:00,1,MARS,202.0,218.39653021846857,very_unhealthy,very_unhealthy,16.39653021846857,16.39653021846857
1,MARS,2026-04-09 16:00:00+00:00,2026-04-09 23:00:00,1,MARS,150.0,134.0961718542977,unhealthy_sensitive,unhealthy_sensitive,15.903828145702306,-15.903828145702306
1,MARS,2026-04-06 14:00:00+00:00,2026-04-06 21:00:00,1,MARS,224.0,239.266910574869,very_unhealthy,very_unhealthy,15.266910574869001,15.266910574869001
1,MARS,2026-03-31 09:00:00+00:00,2026-03-31 16:00:00,1,MARS,179.0,163.83156206851146,unhealthy,unhealthy,15.16843793148854,-15.16843793148854
1,MARS,2026-04-12 07:00:00+00:00,2026-04-12 14:00:00,1,MARS,213.0,197.92335439911585,very_unhealthy,unhealthy,15.076645600884149,-15.076645600884149
6,SVMR,2026-04-07 06:00:00+00:00,2026-04-07 13:00:00,6,SVMR,248.0,183.6286163922056,very_unhealthy,unhealthy,64.3713836077944,-64.3713836077944
6,SVMR,2026-04-07 07:00:00+00:00,2026-04-07 14:00:00,6,SVMR,243.0,181.5282192036148,very_unhealthy,unhealthy,61.47178079638519,-61.47178079638519
6,SVMR,2026-04-07 05:00:00+00:00,2026-04-07 12:00:00,6,SVMR,246.0,187.80169786250616,very_unhealthy,unhealthy,58.19830213749384,-58.19830213749384
6,SVMR,2026-04-06 06:00:00+00:00,2026-04-06 13:00:00,6,SVMR,261.0,205.66989857693957,very_unhealthy,very_unhealthy,55.33010142306043,-55.33010142306043
6,SVMR,2026-04-06 07:00:00+00:00,2026-04-06 14:00:00,6,SVMR,256.0,202.31729229108188,very_unhealthy,very_unhealthy,53.682707708918116,-53.682707708918116
6,SVMR,2026-04-07 08:00:00+00:00,2026-04-07 15:00:00,6,SVMR,232.0,181.45510535088613,very_unhealthy,unhealthy,50.54489464911387,-50.54489464911387
6,SVMR,2026-04-06 08:00:00+00:00,2026-04-06 15:00:00,6,SVMR,243.0,192.75336918501523,very_unhealthy,unhealthy,50.24663081498477,-50.24663081498477
6,SVMR,2026-04-06 05:00:00+00:00,2026-04-06 12:00:00,6,SVMR,257.0,207.32412915379683,very_unhealthy,very_unhealthy,49.67587084620317,-49.67587084620317
6,SVMR,2026-04-07 04:00:00+00:00,2026-04-07 11:00:00,6,SVMR,238.0,190.19224075699745,very_unhealthy,unhealthy,47.80775924300255,-47.80775924300255
6,SVMR,2026-03-30 05:00:00+00:00,2026-03-30 12:00:00,6,SVMR,197.0,156.796316238124,unhealthy,unhealthy,40.20368376187599,-40.20368376187599
6,SVMR,2026-04-06 04:00:00+00:00,2026-04-06 11:00:00,6,SVMR,244.0,203.89360424802624,very_unhealthy,very_unhealthy,40.106395751973764,-40.106395751973764
6,SVMR,2026-03-30 04:00:00+00:00,2026-03-30 11:00:00,6,SVMR,181.0,141.30635587897558,unhealthy,unhealthy_sensitive,39.69364412102442,-39.69364412102442
6,SVMR,2026-04-07 09:00:00+00:00,2026-04-07 16:00:00,6,SVMR,216.0,176.49813411888948,very_unhealthy,unhealthy,39.50186588111052,-39.50186588111052
6,SVMR,2026-04-06 09:00:00+00:00,2026-04-06 16:00:00,6,SVMR,224.0,185.43000333569896,very_unhealthy,unhealthy,38.569996664301044,-38.569996664301044
6,SVMR,2026-03-30 06:00:00+00:00,2026-03-30 13:00:00,6,SVMR,201.0,162.52162252401536,very_unhealthy,unhealthy,38.478377475984644,-38.478377475984644
6,SVMR,2026-04-12 03:00:00+00:00,2026-04-12 10:00:00,6,SVMR,229.0,191.4543058262496,very_unhealthy,unhealthy,37.545694173750405,-37.545694173750405
6,SVMR,2026-04-07 03:00:00+00:00,2026-04-07 10:00:00,6,SVMR,224.0,186.6494285809985,very_unhealthy,unhealthy,37.35057141900151,-37.35057141900151
6,SVMR,2026-03-10 05:00:00+00:00,2026-03-10 12:00:00,6,SVMR,91.0,54.66416671032224,moderate,moderate,36.33583328967776,-36.33583328967776
6,SVMR,2026-04-12 12:00:00+00:00,2026-04-12 19:00:00,6,SVMR,176.0,142.22313229341088,unhealthy,unhealthy_sensitive,33.776867706589115,-33.776867706589115
6,SVMR,2026-04-13 06:00:00+00:00,2026-04-13 13:00:00,6,SVMR,227.0,193.22451558805912,very_unhealthy,unhealthy,33.77548441194088,-33.77548441194088
24,SVMR,2026-03-29 12:00:00+00:00,2026-03-29 19:00:00,24,SVMR,201.0,107.17176572826698,very_unhealthy,unhealthy_sensitive,93.82823427173302,-93.82823427173302
24,SVMR,2026-03-29 11:00:00+00:00,2026-03-29 18:00:00,24,SVMR,197.0,105.57425091640263,unhealthy,unhealthy_sensitive,91.42574908359737,-91.42574908359737
24,SVMR,2026-03-29 13:00:00+00:00,2026-03-29 20:00:00,24,SVMR,196.0,108.35302349210576,unhealthy,unhealthy_sensitive,87.64697650789424,-87.64697650789424
24,SVMR,2026-04-12 12:00:00+00:00,2026-04-12 19:00:00,24,SVMR,227.0,143.34468839926885,very_unhealthy,unhealthy_sensitive,83.65531160073115,-83.65531160073115
24,SVMR,2026-04-10 13:00:00+00:00,2026-04-10 20:00:00,24,SVMR,242.0,162.2096622043563,very_unhealthy,unhealthy,79.7903377956437,-79.7903377956437
24,SVMR,2026-04-06 12:00:00+00:00,2026-04-06 19:00:00,24,SVMR,248.0,168.8725880815261,very_unhealthy,unhealthy,79.12741191847391,-79.12741191847391
24,SVMR,2026-04-10 12:00:00+00:00,2026-04-10 19:00:00,24,SVMR,248.0,169.3641024802944,very_unhealthy,unhealthy,78.6358975197056,-78.6358975197056
24,SVMR,2026-03-29 10:00:00+00:00,2026-03-29 17:00:00,24,SVMR,181.0,102.59762836327612,unhealthy,unhealthy_sensitive,78.40237163672388,-78.40237163672388
24,SVMR,2026-03-29 14:00:00+00:00,2026-03-29 21:00:00,24,SVMR,182.0,105.93334875221854,unhealthy,unhealthy_sensitive,76.06665124778146,-76.06665124778146
24,SVMR,2026-04-06 11:00:00+00:00,2026-04-06 18:00:00,24,SVMR,246.0,170.58484597949067,very_unhealthy,unhealthy,75.41515402050933,-75.41515402050933
24,SVMR,2026-03-31 11:00:00+00:00,2026-03-31 18:00:00,24,SVMR,122.0,195.73562392665116,unhealthy_sensitive,unhealthy,73.73562392665116,73.73562392665116
24,SVMR,2026-04-06 10:00:00+00:00,2026-04-06 17:00:00,24,SVMR,238.0,165.93622543191594,very_unhealthy,unhealthy,72.06377456808406,-72.06377456808406
24,SVMR,2026-04-02 13:00:00+00:00,2026-04-02 20:00:00,24,SVMR,212.0,141.60525890263042,very_unhealthy,unhealthy_sensitive,70.39474109736958,-70.39474109736958
24,SVMR,2026-04-06 13:00:00+00:00,2026-04-06 20:00:00,24,SVMR,243.0,173.54947642184308,very_unhealthy,unhealthy,69.45052357815692,-69.45052357815692
24,SVMR,2026-04-02 14:00:00+00:00,2026-04-02 21:00:00,24,SVMR,208.0,138.87990150008582,very_unhealthy,unhealthy_sensitive,69.12009849991418,-69.12009849991418
24,SVMR,2025-12-14 01:00:00+00:00,2025-12-14 08:00:00,24,SVMR,156.0,87.10761494042576,unhealthy,moderate,68.89238505957424,-68.89238505957424
24,SVMR,2026-04-12 13:00:00+00:00,2026-04-12 20:00:00,24,SVMR,222.0,153.16975043016998,very_unhealthy,unhealthy,68.83024956983002,-68.83024956983002
24,SVMR,2026-04-02 11:00:00+00:00,2026-04-02 18:00:00,24,SVMR,206.0,137.20455991994478,very_unhealthy,unhealthy_sensitive,68.79544008005522,-68.79544008005522
24,SVMR,2026-04-05 13:00:00+00:00,2026-04-05 20:00:00,24,SVMR,256.0,187.2839969627999,very_unhealthy,unhealthy,68.7160030372001,-68.7160030372001
24,SVMR,2026-04-10 14:00:00+00:00,2026-04-10 21:00:00,24,SVMR,229.0,161.12781084276995,very_unhealthy,unhealthy,67.87218915723005,-67.87218915723005
