horizon,model_name,mae,mse,rmse,r2,class_accuracy,class_macro_f1,train_rows,validation_rows,test_rows,feature_count,model_path,metadata_path,prediction_path,notes
1,MARS,1.2228851958288984,5.190496773439334,2.278266177038876,0.9963543757984393,0.9753869576249683,0.9564873041986439,13792,1970,3941,145,outputs\gijon_aqi_hourly\models\horizon_01_mars.joblib,outputs\gijon_aqi_hourly\metadata\horizon_01_mars.json,outputs\gijon_aqi_hourly\predictions\horizon_01_mars.csv,"Best MARS/Earth model selected by validation RMSE, then refit on train+validation."
1,ARIMA,1.2634419572344242,6.772080009266978,2.6023220418055444,0.9952435268040192,0.972849530575996,0.9490345279041639,13792,1970,3941,1,outputs\gijon_aqi_hourly\models\horizon_01_arima.pkl,outputs\gijon_aqi_hourly\metadata\horizon_01_arima.json,outputs\gijon_aqi_hourly\predictions\horizon_01_arima.csv,"Selected ARIMA order (3, 0, 3)."
1,Baseline_Persistence,1.7383912712509515,13.490230905861457,3.6729049682589743,0.9905249315389782,0.9665059629535651,0.926620953601649,13792,1970,3941,1,,,outputs\gijon_aqi_hourly\predictions\horizon_01_baseline_persistence.csv,Naive baseline: predicts future AQI as current AQI.
1,MLP,3.5004315954379623,21.359571876194348,4.621641686261966,0.9849977804503611,0.9319969550875412,0.8977913747039766,13792,1970,3941,145,outputs\gijon_aqi_hourly\models\horizon_01_mlp.joblib,outputs\gijon_aqi_hourly\metadata\horizon_01_mlp.json,outputs\gijon_aqi_hourly\predictions\horizon_01_mlp.csv,"Best MLP selected by validation RMSE, then refit on train+validation."
1,SVMR,2.7681521044887516,25.171842876252825,5.0171548587075545,0.9823201740424659,0.94037046434915,0.8849064529369967,13792,1970,3941,145,outputs\gijon_aqi_hourly\models\horizon_01_svmr.joblib,outputs\gijon_aqi_hourly\metadata\horizon_01_svmr.json,outputs\gijon_aqi_hourly\predictions\horizon_01_svmr.csv,"Best epsilon-SVR selected by validation RMSE, then refit on train+validation."
6,SVMR,4.891360568528005,55.1078014258174,7.423462899874788,0.9612823920258555,0.8923857868020305,0.8222043311089113,13788,1970,3940,145,outputs\gijon_aqi_hourly\models\horizon_06_svmr.joblib,outputs\gijon_aqi_hourly\metadata\horizon_06_svmr.json,outputs\gijon_aqi_hourly\predictions\horizon_06_svmr.csv,"Best epsilon-SVR selected by validation RMSE, then refit on train+validation."
6,MLP,5.943365306199691,59.82813506936232,7.7348649031099646,0.9579659826829069,0.8817258883248731,0.8228429048940672,13788,1970,3940,145,outputs\gijon_aqi_hourly\models\horizon_06_mlp.joblib,outputs\gijon_aqi_hourly\metadata\horizon_06_mlp.json,outputs\gijon_aqi_hourly\predictions\horizon_06_mlp.csv,"Best MLP selected by validation RMSE, then refit on train+validation."
6,MARS,6.042614761234159,62.08902816483807,7.879659140142933,0.9563775256899362,0.8705583756345178,0.8355473745036761,13788,1970,3940,145,outputs\gijon_aqi_hourly\models\horizon_06_mars.joblib,outputs\gijon_aqi_hourly\metadata\horizon_06_mars.json,outputs\gijon_aqi_hourly\predictions\horizon_06_mars.csv,"Best MARS/Earth model selected by validation RMSE, then refit on train+validation."
6,ARIMA,10.214846996979311,224.74988983893428,14.991660676487255,0.8420953494446736,0.8005076142131979,0.5896144800325503,13788,1970,3940,1,outputs\gijon_aqi_hourly\models\horizon_06_arima.pkl,outputs\gijon_aqi_hourly\metadata\horizon_06_arima.json,outputs\gijon_aqi_hourly\predictions\horizon_06_arima.csv,"Selected ARIMA order (3, 0, 3)."
6,Baseline_Persistence,9.426649746192894,241.0535532994924,15.525899436087185,0.8306407307867689,0.8243654822335026,0.6269015560557943,13788,1970,3940,1,,,outputs\gijon_aqi_hourly\predictions\horizon_06_baseline_persistence.csv,Naive baseline: predicts future AQI as current AQI.
24,SVMR,17.108563593914198,481.5897141429681,21.945152406464807,0.6613543069924298,0.6167132334264669,0.4661886473265661,13776,1967,3937,145,outputs\gijon_aqi_hourly\models\horizon_24_svmr.joblib,outputs\gijon_aqi_hourly\metadata\horizon_24_svmr.json,outputs\gijon_aqi_hourly\predictions\horizon_24_svmr.csv,"Best epsilon-SVR selected by validation RMSE, then refit on train+validation."
24,MARS,17.361206248484354,503.94475179967765,22.4487138117015,0.6456346248706075,0.6240792481584964,0.533029429574722,13776,1967,3937,145,outputs\gijon_aqi_hourly\models\horizon_24_mars.joblib,outputs\gijon_aqi_hourly\metadata\horizon_24_mars.json,outputs\gijon_aqi_hourly\predictions\horizon_24_mars.csv,"Best MARS/Earth model selected by validation RMSE, then refit on train+validation."
24,ARIMA,23.030144901585345,821.4952743032933,28.661738856937717,0.4223385003893676,0.45161290322580644,0.2584776978920668,13776,1967,3937,1,outputs\gijon_aqi_hourly\models\horizon_24_arima.pkl,outputs\gijon_aqi_hourly\metadata\horizon_24_arima.json,outputs\gijon_aqi_hourly\predictions\horizon_24_arima.csv,"Selected ARIMA order (3, 0, 3)."
24,MLP,23.510074942189906,903.773164627516,30.062820303948797,0.36448208782534086,0.5189230378460757,0.3371740800573503,13776,1967,3937,145,outputs\gijon_aqi_hourly\models\horizon_24_mlp.joblib,outputs\gijon_aqi_hourly\metadata\horizon_24_mlp.json,outputs\gijon_aqi_hourly\predictions\horizon_24_mlp.csv,"Best MLP selected by validation RMSE, then refit on train+validation."
24,Baseline_Persistence,22.958597917195835,955.4107188214376,30.909718840866827,0.32817143830007867,0.6002032004064008,0.5078367170883926,13776,1967,3937,1,,,outputs\gijon_aqi_hourly\predictions\horizon_24_baseline_persistence.csv,Naive baseline: predicts future AQI as current AQI.
